Run,LPIPS,PSNR,SSIM,Ref_LPIPS,Ref_PSNR,Ref_SSIM,Scene,Rank,Noise Strength,Controlnet
12139546,0.1269053965806961,23.917369842529297,0.7268306016921997,0.6512156128883362,17.515771865844727,0.6262760758399963,53,4,0.3,Yes
12139541,0.1127298846840858,24.47129440307617,0.7525964975357056,0.6394819617271423,17.801876068115234,0.6353474259376526,53,4,0.2,Yes
12139540,0.0978038311004638,25.030250549316406,0.7779553532600403,0.5707119703292847,18.13021850585937,0.634849488735199,53,4,0.1,Yes
12139536,0.1615863293409347,24.860736846923828,0.6841277480125427,0.7141498923301697,20.247663497924805,0.633088231086731,28,4,0.3,Yes
12139535,0.150293081998825,25.3593692779541,0.7070998549461365,0.6828044056892395,20.393531799316406,0.6439939737319946,28,4,0.2,Yes
12139532,0.1321171224117279,25.83921241760254,0.7315852046012878,0.5832006335258484,20.57408142089844,0.6440308094024658,28,4,0.1,Yes
12139528,0.0851183980703353,26.400569915771484,0.843582808971405,0.7486699819564819,19.491973876953125,0.4881858825683594,16,4,0.3,Yes
12139525,0.0765008181333541,26.9715518951416,0.8567406535148621,0.7075132131576538,19.12223052978516,0.4832503199577331,16,4,0.2,Yes
12139524,0.0673866271972656,27.5793571472168,0.8711778521537781,0.6490667462348938,18.76759529113769,0.4696471989154815,16,4,0.1,Yes
12139520,0.1067384481430053,23.471973419189453,0.7604495286941528,0.700646698474884,16.885236740112305,0.4770319759845733,11,4,0.3,Yes
12139519,0.0980632752180099,24.041065216064453,0.7806676626205444,0.6430160403251648,17.10536003112793,0.4697664678096771,11,4,0.2,Yes
12139518,0.0855992659926414,24.684328079223636,0.8023723363876343,0.5759958624839783,17.234405517578125,0.4520767629146576,11,4,0.1,Yes
12139514,0.1468003094196319,23.943374633789062,0.6966018676757812,0.5857309699058533,20.370824813842773,0.6520891785621643,1,4,0.3,Yes
12139512,0.1142662912607193,24.99604034423828,0.7499826550483704,0.4963814914226532,20.776525497436523,0.6707531213760376,1,4,0.1,Yes
12139513,0.1336003094911575,24.44978141784668,0.7220465540885925,0.5553890466690063,20.631547927856445,0.6708317399024963,1,4,0.2,Yes
12139488,0.1020714864134788,23.959148406982425,0.779490053653717,0.5515010952949524,17.218538284301758,0.4426822662353515,11,4,0.1,No
12139495,0.0963607728481292,25.84282875061035,0.8288847804069519,0.665649950504303,18.861682891845703,0.4748338162899017,16,4,0.2,No
12139501,0.1786411106586456,24.542217254638672,0.6707050204277039,0.6562284827232361,20.396041870117188,0.647842526435852,28,4,0.2,No
12139490,0.1365147083997726,22.434127807617188,0.720099925994873,0.6210451126098633,17.303680419921875,0.4620065987110138,11,4,0.3,No
12139502,0.2012206017971038,24.02042007446289,0.6454581618309021,0.7103592157363892,20.270336151123047,0.6513323783874512,28,4,0.3,No
12139500,0.1541590839624405,25.287601470947266,0.7062329053878784,0.5627990961074829,20.440523147583008,0.6372162699699402,28,4,0.1,No
12139489,0.1220411509275436,23.01972770690918,0.7458033561706543,0.5840048789978027,17.250240325927734,0.4501484632492065,11,4,0.2,No
12139496,0.110043779015541,25.003463745117188,0.8087409734725952,0.7278434038162231,19.124601364135746,0.4797791242599487,16,4,0.3,No
12139483,0.1623459011316299,23.656970977783203,0.688631534576416,0.5084449648857117,20.710926055908203,0.6747574806213379,1,4,0.2,No
12139484,0.1792163848876953,23.09092712402344,0.6597386598587036,0.534678041934967,20.59865379333496,0.6667912602424622,1,4,0.3,No
12139494,0.0801474973559379,26.915752410888672,0.855566680431366,0.6353879570960999,18.371686935424805,0.464647501707077,16,4,0.1,No
12139482,0.1365824341773986,24.401268005371094,0.7242834568023682,0.49002206325531,20.700584411621094,0.6702551245689392,1,4,0.1,No
12139506,0.1164175420999527,24.39138412475586,0.7526447176933289,0.5604518055915833,18.15513801574707,0.632725715637207,53,4,0.1,No
12139508,0.1627981811761856,23.03178596496582,0.6892948150634766,0.6420395970344543,17.863981246948242,0.635698139667511,53,4,0.3,No
12139507,0.1422672271728515,23.67526054382324,0.7169243693351746,0.5938336849212646,18.068471908569336,0.6347495317459106,53,4,0.2,No
12139481,0.1094444990158081,24.85353279113769,0.7675635814666748,0.6712532043457031,17.365459442138672,0.6335476636886597,53,128,0.3,Yes
12139557,0.098762072622776,25.19575881958008,0.7839899659156799,0.6627646088600159,17.434280395507812,0.635506808757782,53,128,0.2,Yes
12139552,0.0870150923728942,25.49139213562012,0.7952742576599121,0.6111137866973877,17.939899444580078,0.640921413898468,53,128,0.1,Yes
12139539,0.1490947306156158,25.75581741333008,0.7229987978935242,0.7835457921028137,19.831226348876957,0.6486492156982422,28,128,0.3,Yes
12139537,0.1202810183167457,26.351001739501957,0.7543342113494873,0.6264712810516357,20.46708869934082,0.6513004302978516,28,128,0.1,Yes
12139531,0.0724027380347251,27.30447769165039,0.8655967712402344,0.788669228553772,19.48973655700684,0.4897551536560058,16,128,0.3,Yes
12139530,0.062231607735157,27.71309280395508,0.8749898076057434,0.8097532987594604,19.494808197021484,0.4917274713516235,16,128,0.2,Yes
12139529,0.0585435330867767,28.12763977050781,0.8823843002319336,0.704643964767456,19.13469886779785,0.4801424741744995,16,128,0.1,Yes
12139523,0.0926158130168914,24.51136589050293,0.7977198958396912,0.7864163517951965,16.566675186157227,0.4997226595878601,11,128,0.3,Yes
12139522,0.0832382664084434,24.878604888916016,0.8094341158866882,0.7342262268066406,16.903486251831055,0.4876352846622467,11,128,0.2,Yes
12139521,0.0753452777862548,25.165319442749023,0.8211413621902466,0.6190042495727539,17.14766502380371,0.4655942320823669,11,128,0.1,Yes
12139517,0.1187104955315589,24.931909561157227,0.7465816736221313,0.6624876856803894,19.521095275878903,0.6816693544387817,1,128,0.3,Yes
12139516,0.1137989312410354,25.0543155670166,0.7543821334838867,0.5848294496536255,20.59467315673828,0.6831348538398743,1,128,0.2,Yes
12139515,0.1016454845666885,25.452716827392575,0.7718174457550049,0.5220582485198975,20.821691513061523,0.6804362535476685,1,128,0.1,Yes
12139491,0.080210343003273,25.09079933166504,0.8155807256698608,0.599816083908081,17.28118324279785,0.457573801279068,11,128,0.1,No
12139492,0.0910487696528434,24.60088348388672,0.7987340688705444,0.7041027545928955,17.020219802856445,0.4807933270931244,11,128,0.2,No
12139487,0.1367777287960052,24.54525184631348,0.7229295372962952,0.6424121260643005,19.957988739013672,0.6780308485031128,1,128,0.3,No
12139485,0.1085155382752418,25.40900421142578,0.7665742635726929,0.5236415266990662,20.658676147460938,0.6785836219787598,1,128,0.1,No
12139497,0.0641574040055275,28.001861572265625,0.8793784976005554,0.6881762146949768,19.04922103881836,0.4765684902667999,16,128,0.1,No
12139498,0.0739442110061645,27.424575805664062,0.8672716021537781,0.758213996887207,19.324607849121094,0.4841002821922302,16,128,0.2,No
12139486,0.1253952831029892,24.906328201293945,0.743960440158844,0.5792073011398315,20.467872619628903,0.6820513010025024,1,128,0.2,No
12139499,0.0804184973239898,27.055850982666016,0.8593052625656128,0.8222811818122864,19.649044036865234,0.4911862909793854,16,128,0.3,No
12139504,0.1474871933460235,25.85971450805664,0.7265297770500183,0.7221402525901794,20.164209365844727,0.6574636101722717,28,128,0.2,No
12139505,0.1609825193881988,25.59442710876465,0.7136030197143555,0.7756555676460266,19.775362014770508,0.6558918952941895,28,128,0.3,No
12139503,0.1320842802524566,26.179386138916016,0.7404717206954956,0.6077901124954224,20.636798858642575,0.6510546207427979,28,128,0.1,No
12139510,0.1036645621061325,25.053773880004883,0.7729285359382629,0.6836181879043579,17.60497283935547,0.6419683694839478,53,128,0.2,No
12139509,0.0983383283019065,25.300058364868164,0.7854347229003906,0.589241087436676,18.00930404663086,0.6393088102340698,53,128,0.1,No
12139511,0.1217976957559585,24.625865936279297,0.7569463849067688,0.682052731513977,17.183420181274414,0.6320473551750183,53,128,0.3,No
