Run,Augment Loss Mult,Augment Phase Step,Noise Start Phase Step,Noise Strength,LPIPS,PSNR,SSIM,FID_0,FID_4,FID_8
12139426,60,20000,20000,0.3,0.1858216077089309,26.4386043548584,0.7693802118301392,29.94036674499512,135.70469665527344,171.4626922607422
12139458,60,20000,0,0.2,0.1882554739713668,26.40873336791992,0.7692569494247437,27.92421531677246,135.64605712890625,171.77903747558594
12139447,40,20000,0,0.3,0.1867819726467132,26.428524017333984,0.7686077356338501,27.64168739318848,136.40966796875,169.1953125
12139449,40,20000,20000,0.2,0.1892694681882858,26.478796005249023,0.7705389857292175,29.529773712158203,140.46890258789062,171.052978515625
12139434,20,20000,0,0.2,0.1906633079051971,26.49178695678711,0.7705036401748657,30.889450073242188,140.4883270263672,174.56256103515625
12139435,20,20000,0,0.3,0.1874607354402542,26.435190200805664,0.7698392868041992,29.527915954589844,141.29844665527344,175.6472625732422
12139440,40,0,0,0.2,0.1848778426647186,26.43412208557129,0.7695932388305664,28.539474487304688,134.6358642578125,168.20437622070312
12139461,60,20000,20000,0.2,0.1876346170902252,26.4666690826416,0.7695544958114624,28.09879493713379,137.99249267578125,171.99803161621094
12139460,60,20000,20000,0.1,0.1977155059576034,26.360340118408203,0.7654865980148315,31.24376678466797,136.54197692871094,174.82479858398438
12139459,60,20000,0,0.3,0.1888198405504226,26.471435546875,0.7691192030906677,29.17704391479492,136.63877868652344,166.75440979003906
12139457,60,20000,0,0.1,0.1873822212219238,26.382892608642575,0.7684974670410156,29.05339813232422,137.54566955566406,169.44754028320312
12139456,60,0,20000,0.3,0.1864180266857147,26.37619972229004,0.7674505114555359,28.94557380676269,135.70590209960938,165.72731018066406
12139446,40,20000,0,0.2,0.1850050985813141,26.483562469482425,0.7711505889892578,28.690229415893555,136.08322143554688,166.553466796875
12139445,40,20000,0,0.1,0.1896299719810485,26.4171142578125,0.7687474489212036,28.991943359375,137.32864379882812,167.27113342285156
12139444,40,0,20000,0.3,0.1872964948415756,26.5230712890625,0.7709564566612244,28.85204124450684,139.4904327392578,172.075927734375
12139451,60,0,0,0.1,0.187956765294075,26.40385055541992,0.7674545049667358,28.435768127441406,137.91790771484375,170.17636108398438
12139450,40,20000,20000,0.3,0.1876088380813598,26.51129150390625,0.7712294459342957,29.37613677978516,141.33714294433594,174.3109130859375
12139448,40,20000,20000,0.1,0.187759593129158,26.40287399291992,0.7694005966186523,27.78113174438477,135.20233154296875,168.25001525878906
12139455,60,0,20000,0.2,0.1871856749057769,26.4387321472168,0.7684996128082275,27.787826538085938,134.57655334472656,165.90280151367188
12139454,60,0,20000,0.1,0.1881772875785827,26.48378562927246,0.7710098028182983,29.02254676818848,136.3819122314453,164.1613006591797
12139453,60,0,0,0.3,0.1869693398475647,26.50856590270996,0.7717682719230652,28.033567428588867,134.86886596679688,173.7233123779297
12139452,60,0,0,0.2,0.187774658203125,26.38824462890625,0.7695599794387817,29.84244728088379,135.36253356933594,168.69151306152344
12139443,40,0,20000,0.2,0.1863253861665725,26.47714614868164,0.7708489894866943,28.84389305114746,136.69842529296875,164.73838806152344
12139441,40,0,0,0.3,0.1886080503463745,26.35560607910156,0.7672423124313354,29.08712577819824,136.4922637939453,171.6879119873047
12139442,40,0,20000,0.1,0.1864108592271804,26.45258140563965,0.7700295448303223,28.02033805847168,134.89234924316406,167.69613647460938
12139430,20,0,20000,0.1,0.1880445033311844,26.43356704711914,0.7691662907600403,28.78167152404785,138.13951110839844,171.74534606933594
12139437,20,20000,20000,0.2,0.1858866661787033,26.48639488220215,0.7708641290664673,28.340686798095703,135.00428771972656,170.470458984375
12139439,40,0,0,0.1,0.1860116273164749,26.497669219970703,0.7712751626968384,29.03537368774414,139.16603088378906,174.1450653076172
12139438,20,20000,20000,0.3,0.1900053769350052,26.43815040588379,0.7693542838096619,29.93568420410156,139.0095977783203,171.4845733642578
12139436,20,20000,20000,0.1,0.1867665946483612,26.495590209960938,0.7715893983840942,28.79078483581543,134.33956909179688,170.8379364013672
12139433,20,20000,0,0.1,0.1871007680892944,26.52278709411621,0.7714627385139465,27.83209800720215,134.17518615722656,169.0858612060547
12139431,20,0,20000,0.2,0.1879145503044128,26.472705841064453,0.770203709602356,29.049297332763672,133.9616241455078,170.99789428710938
12139429,20,0,0,0.3,0.1879453510046005,26.483631134033203,0.7712332010269165,29.225906372070312,139.61740112304688,170.9586639404297
12139428,20,0,0,0.2,0.1892048120498657,26.36624526977539,0.7673635482788086,29.63858413696289,137.22598266601562,170.51641845703125
12139427,20,0,0,0.1,0.18720743060112,26.34454345703125,0.7688475251197815,27.10013771057129,136.06202697753906,166.21920776367188
12139432,20,0,20000,0.3,0.1883999109268188,26.454517364501957,0.7703710198402405,29.07512092590332,137.87945556640625,167.44383239746094
