Run,Model,Scene,LPIPS,PSNR,SSIM,FID_0,FID_4,FID_8
12146255,un128cn128,016,0.1440704315900802,26.845678329467773,0.8576911091804504,24.571752548217773,126.7042236328125,212.92477416992188
12146254,un128cn128,001,0.1886714845895767,26.460134506225582,0.7706204652786255,27.273656845092773,135.32638549804688,167.92681884765625
12146251,un128,001,0.192417487502098,26.39348793029785,0.7675654888153076,29.886394500732425,141.2003936767578,171.43264770507812
12146253,un128,053,0.1619447767734527,26.794750213623047,0.8075218200683594,25.69599151611328,125.2569351196289,306.5469055175781
12146252,un128,016,0.1437189579010009,26.99404525756836,0.857989490032196,21.985816955566406,121.03140258789062,216.12759399414065
12146250,un4cn4,053,0.157680481672287,26.847705841064453,0.8075827360153198,25.85462951660156,126.677978515625,313.1622619628906
12146249,un4cn4,016,0.1665003001689911,26.42988967895508,0.8452995419502258,28.542701721191406,120.682373046875,212.3495330810547
12146248,un4cn4,001,0.1865417063236236,26.452417373657227,0.7693591713905334,28.56150245666504,136.32032775878906,172.81875610351562
12146247,un4,053,0.1590242981910705,26.945247650146484,0.8095647692680359,26.36636734008789,127.57050323486328,315.0771484375
12146246,un4,016,0.1954975128173828,26.03788375854492,0.8328097462654114,38.40336227416992,134.53521728515625,216.99078369140625
12146245,un4,001,0.1884991377592086,26.51890182495117,0.7703762054443359,27.931400299072266,138.24252319335938,173.21273803710938
12146244,un128cn128,053,0.1578506976366043,26.910961151123047,0.8093446493148804,25.067615509033203,127.67542266845705,313.6340637207031
